0	16.25	35.45	87.3	122.37	194.95	239.77	115.71	200.11	251.43	83.46	149.32	192.53	72.51	126.77	173.76	
16.25	0	34.36	86.21	121.28	193.86	238.68	114.62	199.02	250.34	84.11	148.23	192.16	88.76	143.02	190.01	
35.45	34.36	0	51.85	155.64	228.22	273.04	148.98	233.38	284.7	98.71	164.57	207.78	103.36	157.62	204.61	
87.3	86.21	51.85	0	207.49	280.07	324.89	200.83	285.23	336.55	150.56	216.42	259.63	155.21	209.47	192.86	
122.37	121.28	155.64	207.49	0	72.58	117.4	235.9	320.3	371.62	205.39	269.51	313.44	194.88	249.14	296.13	
194.95	193.86	228.22	280.07	72.58	0	44.82	308.48	392.88	444.2	277.97	342.09	386.02	267.46	321.72	368.71	
239.77	238.68	273.04	324.89	117.4	44.82	0	353.3	437.7	489.02	322.79	386.91	430.84	312.28	366.54	413.53	
115.71	114.62	148.98	200.83	235.9	308.48	353.3	0	84.4	135.72	198.73	262.85	306.78	188.22	242.48	289.47	
200.11	199.02	233.38	285.23	320.3	392.88	437.7	84.4	0	51.32	283.13	347.25	391.18	272.62	326.88	373.87	
251.43	250.34	284.7	336.55	371.62	444.2	489.02	135.72	51.32	0	334.45	398.57	442.5	323.94	378.2	425.19	
83.46	84.11	98.71	150.56	205.39	277.97	322.79	198.73	283.13	334.45	0	65.86	109.07	155.97	210.23	257.22	
149.32	148.23	164.57	216.42	269.51	342.09	386.91	262.85	347.25	398.57	65.86	0	47.15	221.83	276.09	323.08	
192.53	192.16	207.78	259.63	313.44	386.02	430.84	306.78	391.18	442.5	109.07	47.15	0	265.04	319.3	366.29	
72.51	88.76	103.36	155.21	194.88	267.46	312.28	188.22	272.62	323.94	155.97	221.83	265.04	0	54.26	101.25	
126.77	143.02	157.62	209.47	249.14	321.72	366.54	242.48	326.88	378.2	210.23	276.09	319.3	54.26	0	46.99	
173.76	190.01	204.61	192.86	296.13	368.71	413.53	289.47	373.87	425.19	257.22	323.08	366.29	101.25	46.99	0	
