0	60.64	82.64	115.31	21.2	48.01	70.85	24.43	62.8	97.62	30.06	63.6401	98.48	44.88	69.5567	104.527	
60.64	0	22	54.67	53.5733	84.29	90.8899	74.638	107.573	145.22	85.42	109.73	153.84	105.52	130.197	165.167	
82.64	22	0	32.67	61.44	90.05	112.89	94.03	132.4	167.22	107.42	141	175.84	127.52	152.197	187.167	
115.31	54.67	32.67	0	94.11	122.72	145.56	126.7	165.07	199.89	140.09	173.67	208.51	160.19	184.867	219.837	
21.2	53.5733	61.44	94.11	0	28.61	51.45	41.2834	80.2743	118.82	48.2429	80.8801	116.16	66.08	90.7567	125.727	
48.01	84.29	90.05	122.72	28.61	0	22.84	72.44	110.81	145.63	76.678	109.33	144.17	92.89	117.567	152.537	
70.85	90.8899	112.89	145.56	51.45	22.84	0	95.2801	133.65	168.47	98.59	132.17	167.01	115.73	140.407	175.377	
24.43	74.638	94.03	126.7	41.2834	72.44	95.2801	0	46.5134	73.19	20.24	46.97	81.81	45.43	76.72	111.69	
62.8	107.573	132.4	165.07	80.2743	110.81	133.65	46.5134	0	34.82	58.0686	80.5851	120.18	83.8	115.09	150.06	
97.62	145.22	167.22	199.89	118.82	145.63	168.47	73.19	34.82	0	86.58	120.16	155	118.62	149.91	184.88	
30.06	85.42	107.42	140.09	48.2429	76.678	98.59	20.24	58.0686	86.58	0	33.58	68.42	38.38	69.67	104.64	
63.6401	109.73	141	173.67	80.8801	109.33	132.17	46.97	80.5851	120.16	33.58	0	34.84	71.96	103.25	138.22	
98.48	153.84	175.84	208.51	116.16	144.17	167.01	81.81	120.18	155	68.42	34.84	0	106.8	138.09	173.06	
44.88	105.52	127.52	160.19	66.08	92.89	115.73	45.43	83.8	118.62	38.38	71.96	106.8	0	31.29	66.26	
69.5567	130.197	152.197	184.867	90.7567	117.567	140.407	76.72	115.09	149.91	69.67	103.25	138.09	31.29	0	34.97	
104.527	165.167	187.167	219.837	125.727	152.537	175.377	111.69	150.06	184.88	104.64	138.22	173.06	66.26	34.97	0	
